Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
V-500A,150219335,KA01FA2367,V-500A/11-All Days,8828031266
KIAS-8,150219828,KA01F9093,KIAS-8/12-All Days,8828031228
V-500FA,150218242,KA01FA1741,V-500FA/1-All Days,8828031293
356CK,150222463,KA01F2954,356CK/1-All Days,9987811441
215B,150814403,KA57F0232,215B/9-All Days,9967561151
V-335PE,150814369,KA01FA1928,V-335PE/2-All Days,9967475524
500D,150812876,KA01F8756,500D/20-All Days,9967482878
294E,150812820,KA01FA2391,294E/1-All Days,9967493625
401B,150220505,KA53F0217,401B/8-All Days,8828031337
285MC,150814755,KA01F3952,285MC/5-All Days,9967556396
285MP,150813899,KA01FA0057,285MP/1-All Days,9987782210
401K,150219703,KA01FA1713,401K/10-All Days,8828031108
285DA,150220783,KA01FA0787,285DA/1-Week Days,8828031324
G-2,150811589,KA01FA0053,G-2/12-All Days,9967492780
201J,150222168,KA01F3947,201J/4-Holiday,9987784382
45D,150220573,KA53F0120,45D/7-Week-End,9967509095
227VB,150814629,KA01F3402,227VB/1-All Days,9967491585
222F,150222882,KA01FA1554,222F/1-All Days,9967516291
382,150814418,KA01FA1165,382/1-All Days,9967473808
V-356P,150219951,KA01F3960,V-356P/1-All Days,9987894299
V-335EP,150220954,KA01FA0276,V-335EP/2-All Days,9987897542
V-335E,150221689,KA01FA0583,V-335E/8-All Days,9987894166
V-335EV,150219987,KA01FA1343,V-335EV/2-All Days,9987897988
V-335T,150219477,KA01FA1398,V-335T/3-All Days,9987897384
V-335E,150222283,KA01FA1412,V-335E/9-All Days,9987892818
V-335EN,150221052,KA01FA1845,V-335EN/5-All Days,9987897808
SBS-1K,150813531,KA01FA1012,SBS-1K/4-All Days,9967497687
335HD,150813770,KA01FA1079,335HD/1-All Days,9967545497
330E,150813646,KA01FA1082,330E/1-All Days,9967478125
342L,150811350,KA01FA1913,342L/1-All Days,9967472238
KIAS-5,150219275,KA57F0320,KIAS-5/7-All Days,9987869248
V-335EA,150220612,KA01F9072,V-335EA/2-Holiday,9987865902
215M,NRD Device 44,KA01F8712,215M/1-All Days,44
G-3,150220819,KA01FA2037,G-3/24-All Days,9987899660
V-335E,150218190,KA01F4326,V-335E/53-All Days,9987883433
V-365,150810659,KA01F4414,V-365/6-Week Days,9987782772
V-500CA,150810402,KA01F9006,V-500CA/39-Holiday,9967467002
V-500W,150221282,KA01F9591,V-500W/5-Week Days,9987868299
V-333Z,150218455,KA57F0186,V-333Z/5-Holiday,9987788498
V-500K,150219250,KA57F0229,V-500K/30-All Days,9987863426
V-500CN,150221698,KA01FA1541,V-500CN/2-All Days,8828031040
V-500CA,150221476,KA01FA2053,V-500CA/45-All Days,9987863740
V-500D,150219709,KA01FA2108,V-500D/7-All Days,8828031124
2A,150221869,KA57F1492,2A/3-All Days,9987837001
500C,150219772,KA01FA0887,500C/4-Holiday,8828028526
229,150811453,KA01F2827,229/2-All Days,9967548432
